word_in_text	frame	cn	frame0	frame1	frame2
did	Successful_action	4	Successful_action		
flaming	Location_of_light	1	Attributes	Gradable_attributes	Measurable_attributes
exhorted	Attempt_suasion	17	Event	Intentionally_act	Attempt
expresses	Encoding	1	Event	Objective_influence	Transitive_action
drained	Removing	6	Event	Objective_influence	Transitive_action
struck	Impact	41	Impact		
covers	Distributed_position	2	Relation	Basis_for_attribute	Locative_relation
tear	Removing	5	Event	Objective_influence	Transitive_action
motoring	Operate_vehicle	7	Event	Objective_influence	Transitive_action
steams	Apply_heat	1	Process	Activity	Apply_heat
preferred	Partiality	7	Attributes	Gradable_attributes	Social_behavior_evaluation
attracts	Cause_motion	3	Event	Objective_influence	Transitive_action
splashing	Filling	1	Event	Objective_influence	Transitive_action
drowsed	Sleep	2	Process_continue	Sleep	
spawned	Giving_birth	6	Giving_birth		
pushing	Cause_change_of_position_on_a_scale	1	Event	Objective_influence	Transitive_action
knows	Awareness	17	Mental_activity	Awareness	
diddle	Manipulation	2	Event	Intentionally_act	Manipulation
wink	Body_movement	3	Being_included	Part_piece	Part_whole
attend	Attending	9	Event	Intentionally_act	Attending
starved	Death	6	Event	Transition_to_state	Ceasing_to_be
forwarding	Sending	3	Bringing	Sending	
unified	Cause_to_amalgamate	6	Event	Objective_influence	Transitive_action
spawn	Giving_birth	4	Giving_birth		
dyeing	Processing_materials	2	Event	Objective_influence	Transitive_action
retreats	Quitting_a_place	1	Event	Eventive_affecting	Departing
constructing	Building	13	Event	Objective_influence	Transitive_action
refute	Affirm_or_deny	1	Statement	Affirm_or_deny	
punishes	Rewards_and_punishments	3	Event	Eventive_affecting	Response
eviscerated	Emptying	1	Event	Objective_influence	Transitive_action
struggles	Hostile_encounter	1	Event	Intentionally_act	Hostile_encounter
fly	Operate_vehicle	5	Event	Objective_influence	Transitive_action
broke	Cause_harm	8	Event	Objective_influence	Transitive_action
waddle	Self_motion	10	Event	Motion	Self_motion
tail	Cotheme	2	Event	Motion	Self_motion
shown	Cause_to_perceive	19	Event	Objective_influence	Transitive_action
sticking	Becoming_attached	3	Event	Transition_to_state	Becoming
giving	Causation	1	Event	Eventive_affecting	Causation
diminish	Change_position_on_a_scale	15	Event	Change_position_on_a_scale	
wondered	Cogitation	2	Mental_activity	Cogitation	
alleges	Statement	7	Event	Objective_influence	Transitive_action
certify	Verification	11	Scrutiny	Verification	
jogs	Self_motion	2	Event	Motion	Self_motion
justified	Arranging	1	Event	Objective_influence	Transitive_action
pinged	Motion_noise	1	Event	Motion	Motion_noise
snaking	Path_shape	1	Relation	Basis_for_attribute	Locative_relation
denigrated	Judgment_communication	14	Statement	Judgment_communication	
ruling	Leadership	10	Leadership		
securing	Attaching	2	Event	Objective_influence	Transitive_action
waves	Body_movement	2	Being_included	Part_piece	Part_whole
framing	Encoding	2	Event	Objective_influence	Transitive_action
removing	Removing	10	Event	Objective_influence	Transitive_action
responding	Response	7	Event	Eventive_affecting	Response
settled	Colonization	16	Residence	Colonization	
clashed	Compatibility	16	Attributes	Gradable_attributes	Compatibility
button	Closure	6	Event	Objective_influence	Transitive_action
eaten	Ingestion	7	Event	Intentionally_act	Ingest_substance
portrays	Communicate_categorization	1	Categorization	Communicate_categorization	
shooting	Shoot_projectiles	1	Event	Objective_influence	Transitive_action
finds	Achieving_first	1	Event	Objective_influence	Transitive_action
attests	Statement	6	Event	Objective_influence	Transitive_action
imitate	Imitating	6	Attributes	Gradable_attributes	Similarity
commandeer	Taking	4	Event	Getting	Taking
jamming	Placing	7	Event	Objective_influence	Transitive_action
lapping	Ingestion	4	Event	Intentionally_act	Ingest_substance
fired	Shoot_projectiles	40	Event	Objective_influence	Transitive_action
alarm	Experiencer_obj	2	State	Emotions	Experiencer_obj
reached	Contacting	4	Event	Intentionally_act	Contacting
whisper	Communication_manner	6	Event	Objective_influence	Transitive_action
give	Giving_scenario	1	Lose_possession_scenario	Giving_scenario	
purchases	Commerce_buy	3	Event	Getting	Commerce_buy
detached	Becoming_detached	1	Event	Transition_to_state	Becoming
tells	Request	2	Event	Objective_influence	Transitive_action
ceased	Activity_stop	16	Event	Process_stop	Activity_stop
disarmed	Emptying	23	Event	Objective_influence	Transitive_action
concurs	Be_in_agreement_on_assessment	1	Attributes	Gradable_attributes	Similarity
simmering	Emotion_heat	11	State	Emotions	Emotion_heat
affected	Objective_influence	2	Event	Objective_influence	
pin	Attaching	3	Event	Objective_influence	Transitive_action
telling	Telling	18	Statement	Telling	
disciplined	Fining	1	Event	Eventive_affecting	Response
filled	Placing_scenario	3	Placing_scenario		
urinated	Excreting	4	Event	Objective_influence	Transitive_action
bellowing	Make_noise	7	Perception	Make_noise	
teems	Mass_motion	5	Event	Motion	Mass_motion
comment	Statement	11	Event	Objective_influence	Transitive_action
jetted	Fluidic_motion	3	Event	Motion	Fluidic_motion
tickling	Manipulation	5	Event	Intentionally_act	Manipulation
pursuing	Cotheme	10	Event	Motion	Self_motion
emanates	Emanating	1	Event	Motion	Emanating
figured	Opinion	8	Opinion		
dipped	Dunking	12	Event	Objective_influence	Transitive_action
forming	Coming_to_be	4	Event	Coming_to_be	
torturing	Cause_harm	4	Event	Objective_influence	Transitive_action
wowed	Experiencer_obj	9	State	Emotions	Experiencer_obj
shames	Experiencer_obj	3	State	Emotions	Experiencer_obj
ransacking	Scouring	1	Scrutiny	Scrutinizing_for	Scouring
instructed	Request	1	Event	Objective_influence	Transitive_action
became	Eventive_affecting	2	Event	Eventive_affecting	
drinking	Ingestion	7	Event	Intentionally_act	Ingest_substance
thin	Cause_change_of_consistency	4	Event	Objective_influence	Transitive_action
cut	Change_direction	5	Event	Motion	Change_direction
conceive	Categorization	1	Instance	Categorization	
taken	Conquering	4	Conquering		
arguing	Quarreling	9	Reciprocality	Chatting	Discussion
conveyed	Successfully_communicate_message	5	Event	Objective_influence	Transitive_action
banging	Impact	4	Impact		
ripping	Cause_to_fragment	3	Event	Objective_influence	Transitive_action
pattered	Impact	7	Impact		
compromises	Make_compromise	1	Make_agreement_on_action	Make_compromise	
circled	Traversing	20	Event	Traversing	
strike	Attack	13	Event	Objective_influence	Transitive_action
baffle	Experiencer_obj	5	State	Emotions	Experiencer_obj
outdo	Surpassing	12	Attributes	Gradable_attributes	Position_on_a_scale
break	Experience_bodily_harm	2	Event	Experience_bodily_harm	
prohibits	Prohibiting_or_licensing	3	Entity	Artifact	Law
thrusting	Cause_motion	4	Event	Objective_influence	Transitive_action
treating	Cure	6	Event	Objective_influence	Transitive_action
thunder	Communication_noise	1	Event	Objective_influence	Transitive_action
trust	Trust	7	Attributes	Gradable_attributes	Certainty
crushed	Experiencer_obj	3	State	Emotions	Experiencer_obj
nips	Manipulation	1	Event	Intentionally_act	Manipulation
meet	Make_acquaintance	14	Reciprocality	Make_acquaintance	
persuading	Suasion	2	Statement	Telling	Suasion
place	Event	10	Event		
outraged	Experiencer_obj	5	State	Emotions	Experiencer_obj
putrefying	Rotting	1	Event	Rotting	
rattled	Impact	8	Impact		
amounted	Amounting_to	22	Amounting_to		
covers	Eclipse	1	Perception	Perception_experience	Eclipse
